Date,Time,Sensor_id,Sensor_data,Remarks
27-02-2008,12:43:27 AM,M08,ON,Phone_Call begin
27-02-2008,12:43:28 AM,M07,ON,
27-02-2008,12:43:29 AM,M09,ON,
27-02-2008,12:43:29 AM,M14,ON,
27-02-2008,12:43:30 AM,M23,OFF,
27-02-2008,12:43:30 AM,M01,OFF,
27-02-2008,12:43:30 AM,M07,OFF,
27-02-2008,12:43:31 AM,M13,ON,
27-02-2008,12:43:31 AM,M08,OFF,
27-02-2008,12:43:32 AM,M09,OFF,
27-02-2008,12:43:33 AM,I08,ABSENT,
27-02-2008,12:43:34 AM,M14,OFF,
27-02-2008,12:44:00 AM,M13,OFF,
27-02-2008,12:44:04 AM,M13,ON,
27-02-2008,12:44:10 AM,M13,ON,
27-02-2008,12:44:16 AM,M13,OFF,
27-02-2008,12:44:18 AM,M13,ON,
27-02-2008,12:44:25 AM,M13,OFF,
27-02-2008,12:44:28 AM,M13,ON,
27-02-2008,12:44:29 AM,M13,OFF,
27-02-2008,12:44:30 AM,M13,ON,
27-02-2008,12:44:35 AM,M13,OFF,
27-02-2008,12:44:36 AM,M13,ON,
27-02-2008,12:44:40 AM,M13,OFF,
27-02-2008,12:44:47 AM,M13,ON,
27-02-2008,12:44:49 AM,M13,OFF,
27-02-2008,12:44:51 AM,M13,ON,
27-02-2008,12:45:00 AM,M13,ON,
27-02-2008,12:45:15 AM,M13,OFF,
27-02-2008,12:45:17 AM,M13,ON,
27-02-2008,12:45:32 AM,M13,OFF,
27-02-2008,12:45:33 AM,M13,ON,
27-02-2008,12:45:39 AM,M13,OFF,
27-02-2008,12:45:40 AM,M13,ON,
27-02-2008,12:45:46 AM,M13,OFF,
27-02-2008,12:45:48 AM,M13,ON,
27-02-2008,12:46:00 AM,M13,OFF,
27-02-2008,12:46:02 AM,M13,ON,
27-02-2008,12:46:05 AM,M13,OFF,
27-02-2008,12:46:08 AM,M13,ON,
27-02-2008,12:46:10 AM,M13,OFF,
27-02-2008,12:46:20 AM,M13,ON,
27-02-2008,12:46:26 AM,M13,OFF,
27-02-2008,12:46:30 AM,M13,ON,
27-02-2008,12:46:31 AM,M13,OFF,
27-02-2008,12:46:31 AM,M13,ON,
27-02-2008,12:46:33 AM,M13,OFF,
27-02-2008,12:46:36 AM,M13,ON,
27-02-2008,12:46:37 AM,M13,OFF,
27-02-2008,12:46:41 AM,M13,ON,
27-02-2008,12:46:47 AM,M13,OFF,
27-02-2008,12:46:54 AM,M13,ON,
27-02-2008,12:47:03 AM,M13,OFF,
27-02-2008,12:47:04 AM,M13,ON,
27-02-2008,12:47:06 AM,M13,OFF,
27-02-2008,12:47:14 AM,M13,ON,
27-02-2008,12:47:30 AM,M13,OFF,
27-02-2008,12:47:34 AM,M13,ON,
27-02-2008,12:47:37 PM,asterisk,START,
27-02-2008,12:47:42 AM,M13,OFF,
27-02-2008,12:47:43 AM,M13,ON,
27-02-2008,12:47:46 AM,M13,OFF,
27-02-2008,12:47:59 AM,M13,ON,
27-02-2008,12:48:02 AM,M13,OFF,
27-02-2008,12:48:17 AM,M13,ON,
27-02-2008,12:48:20 AM,M13,OFF,
27-02-2008,12:48:47 AM,M13,ON,
27-02-2008,12:48:48 AM,M13,OFF,
27-02-2008,12:49:14 AM,M13,ON,
27-02-2008,12:49:15 PM,asterisk,END,
27-02-2008,12:49:24 AM,M13,ON,
